Linux 5.19.0-45-generic (aicfed) 	24/06/23 	_x86_64_	(2 CPU)

01:05:27 AM IST     CPU     %user     %nice   %system   %iowait    %steal     %idle
01:05:28 AM IST     all      0.50      2.50      2.50     14.50      0.00     80.00
01:05:29 AM IST     all      0.00     40.50      6.00      5.50      0.00     48.00
01:05:30 AM IST     all      1.51      0.00      2.51     62.31      0.00     33.67
01:05:31 AM IST     all      0.50      0.50      1.51     47.24      0.00     50.25
01:05:32 AM IST     all      1.01     16.58     10.05     49.25      0.00     23.12
01:05:33 AM IST     all      0.50     17.41     10.45     47.26      0.00     24.38
01:05:34 AM IST     all      7.65     27.04     14.80     35.20      0.00     15.31
01:05:35 AM IST     all      0.99     31.19     16.34      7.92      0.00     43.56
01:05:36 AM IST     all      0.50     32.84     16.42      7.96      0.00     42.29
01:05:37 AM IST     all      3.47     31.19     18.81     40.10      0.00      6.44
01:05:38 AM IST     all      3.54     33.84     15.15     21.21      0.00     26.26
01:05:39 AM IST     all      4.90     35.78     16.67     40.20      0.00      2.45
01:05:40 AM IST     all      3.45     25.62     10.84     35.47      0.00     24.63
01:05:41 AM IST     all      9.09      3.03     24.24     29.29      0.00     34.34
01:05:42 AM IST     all      2.97      0.00      3.47     44.55      0.00     49.01
01:05:43 AM IST     all      7.11      0.00      2.54     40.61      0.00     49.75
01:05:44 AM IST     all     12.50      0.00      4.50     33.50      0.00     49.50
01:05:45 AM IST     all      4.52      0.00      3.52     41.71      0.00     50.25
01:05:46 AM IST     all     18.81      0.00     29.70      2.97      0.00     48.51
01:05:47 AM IST     all      0.00      0.00     15.35     35.64      0.00     49.01
01:05:48 AM IST     all      0.50      0.00     23.62     27.64      0.00     48.24
01:05:49 AM IST     all      0.00      0.00     16.00     34.50      0.00     49.50
01:05:50 AM IST     all      0.00      0.00     27.78     22.73      0.00     49.49
01:05:51 AM IST     all      1.57      0.00     15.75      6.30      0.00     76.38
01:05:52 AM IST     all      0.00      0.00      0.00     27.78      0.00     72.22
01:05:53 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:54 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:05:55 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:05:56 AM IST     all      1.00      0.00      0.00      0.00      0.00     99.00
01:05:57 AM IST     all      0.00      0.00      0.50      0.00      0.00     99.50
01:05:58 AM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
01:05:59 AM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
01:06:00 AM IST     all      1.00      0.00      0.00      0.00      0.00     99.00
01:06:01 AM IST     all      0.00      0.00      1.49      0.00      0.00     98.51
01:06:02 AM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
01:06:03 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:04 AM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
01:06:05 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:06 AM IST     all      0.00      0.00      0.00      0.51      0.00     99.49
01:06:07 AM IST     all      1.49      0.00     20.90     11.94      0.00     65.67
01:06:08 AM IST     all     12.25      0.00      7.84     66.67      0.00     13.24
01:06:09 AM IST     all      1.03      0.00     13.40     65.46      0.00     20.10
01:06:10 AM IST     all      8.47      0.00     24.34     48.15      0.00     19.05
01:06:11 AM IST     all     61.22      0.00     23.98      3.57      0.00     11.22
01:06:12 AM IST     all     79.38      0.00      6.19      0.00      0.00     14.43
01:06:13 AM IST     all     86.43      0.00      3.02      0.00      0.00     10.55
01:06:14 AM IST     all     76.05      0.00      5.99      4.79      0.00     13.17
01:06:15 AM IST     all     83.08      0.00      4.10      0.51      0.00     12.31
01:06:16 AM IST     all     86.80      0.00      1.02      0.51      0.00     11.68
01:06:17 AM IST     all     86.87      0.00      2.53      0.00      0.00     10.61
01:06:18 AM IST     all     86.93      0.00      2.51      0.00      0.00     10.55
01:06:19 AM IST     all     40.70      0.00      3.02      6.03      0.00     50.25
01:06:20 AM IST     all      0.00      0.00      0.00      0.00      0.00    100.00
01:06:21 AM IST     all      0.00      0.00      1.00      0.00      0.00     99.00
01:06:22 AM IST     all      0.50      0.00      0.00      0.00      0.00     99.50
01:06:23 AM IST     all      0.51      0.00      2.02      0.00      0.00     97.47
01:06:24 AM IST     all     41.03      0.00     30.77      0.00      0.00     28.21
01:06:25 AM IST     all     87.37      0.00      1.52      0.00      0.00     11.11
01:06:26 AM IST     all     84.77      0.00      4.57      0.00      0.00     10.66
01:06:27 AM IST     all     85.71      0.00      2.55      0.00      0.00     11.73
01:06:28 AM IST     all     88.32      0.00      1.52      0.00      0.00     10.15
01:06:29 AM IST     all     86.80      0.00      1.52      0.00      0.00     11.68
01:06:30 AM IST     all     87.82      0.00      1.52      0.00      0.00     10.66
