Linux 4.15.0-211-generic (133414165dce) 	06/24/23 	_x86_64_	(96 CPU)

00:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:33:44        all      0.24      0.01      0.93      0.00      0.00     98.82
00:33:45        all      0.24      0.01      0.93      0.00      0.00     98.82
00:33:46        all      0.23      0.01      0.94      0.00      0.00     98.82
00:33:47        all      0.48      0.01      1.91      0.00      0.00     97.60
00:33:48        all      0.24      0.02      0.92      0.00      0.00     98.82
00:33:49        all      0.20      0.02      0.96      0.00      0.00     98.82
00:33:50        all      0.26      0.01      0.91      0.00      0.00     98.82
00:33:51        all      0.22      0.01      0.95      0.00      0.00     98.82
00:33:52        all      0.22      0.02      0.96      0.00      0.00     98.80
00:33:53        all      0.24      0.01      0.99      0.00      0.00     98.76
00:33:54        all      0.25      0.01      0.89      0.00      0.00     98.85
00:33:55        all      0.20      0.01      0.98      0.00      0.00     98.81
00:33:56        all      0.20      0.01      0.92      0.00      0.00     98.87
00:33:57        all      0.56      0.02      1.82      0.00      0.00     97.60
00:33:58        all      0.24      0.01      0.93      0.00      0.00     98.82
00:33:59        all      0.15      0.02      1.04      0.00      0.00     98.79
00:34:00        all      0.20      0.02      1.02      0.00      0.00     98.76
00:34:01        all      0.22      0.01      0.92      0.00      0.00     98.85
00:34:02        all      0.24      0.02      0.95      0.00      0.00     98.79
00:34:03        all      0.41      0.02      1.03      0.01      0.00     98.53
00:34:04        all      1.13      0.00      1.04      0.00      0.00     97.83
00:34:05        all      0.24      0.01      1.05      0.00      0.00     98.70
00:34:06        all      0.26      0.01      0.95      0.00      0.00     98.78
00:34:07        all      0.54      0.02      1.80      0.00      0.00     97.64
00:34:08        all      0.18      0.00      0.97      0.00      0.00     98.85
00:34:09        all      0.18      0.02      1.00      0.00      0.00     98.80
00:34:10        all      0.20      0.00      1.01      0.00      0.00     98.79
00:34:11        all      0.19      0.01      1.03      0.00      0.00     98.77
00:34:12        all      0.73      0.01      1.27      0.04      0.00     97.95
00:34:13        all      0.36      0.02      1.18      0.02      0.00     98.42
00:34:14        all      0.23      0.01      0.95      0.00      0.00     98.81
00:34:15        all      0.20      0.01      0.94      0.02      0.00     98.83
00:34:16        all      0.21      0.02      0.93      0.00      0.00     98.84
00:34:17        all      0.53      0.02      1.74      0.00      0.00     97.70
00:34:18        all      0.23      0.01      0.98      0.00      0.00     98.78
